Aug 13 16:51:08.684 [DEBUG] welcome go socks demo (E:/code/self/demo-2/16-go-socks5/main.go:36 main.main)
Aug 13 16:51:08.693 [DEBUG] {0.0.0.0 10000} (E:/code/self/demo-2/16-go-socks5/config/config.go:30 go-socks5-demo/config.LoadConfig)
Aug 13 16:51:08.693 [DEBUG] socks5 server start (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:67 go-socks5-demo/socks5.Start)
Aug 13 16:51:17.410 [DEBUG] request is{3 www.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:51:17.410 [DEBUG] request is{3 www.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:51:17.412 [DEBUG] request is{3 pss.bdstatic.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:51:17.486 [DEBUG] request is{3 wappass.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:51:17.586 [DEBUG] request is{3 ppui-static-wap.cdn.bcebos.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:51:17.590 [DEBUG] request is{3 ppui-static-wap.cdn.bcebos.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:51:17.714 [DEBUG] request is{3 edge.microsoft.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:51:17.768 [DEBUG] request is{3 wappass.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:51:18.094 [DEBUG] request is{3 passport.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:51:18.104 [DEBUG] request is{3 passport.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:51:18.849 [DEBUG] request is{3 www.bing.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:51:19.019 [DEBUG] request is{3 cn.bing.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:09.647 [DEBUG] welcome go socks demo (E:/code/self/demo-2/16-go-socks5/main.go:36 main.main)
Aug 13 16:54:09.660 [DEBUG] {0.0.0.0 10000} (E:/code/self/demo-2/16-go-socks5/config/config.go:30 go-socks5-demo/config.LoadConfig)
Aug 13 16:54:09.660 [DEBUG] socks5 server start (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:67 go-socks5-demo/socks5.Start)
Aug 13 16:54:14.771 [DEBUG] request is{3 www.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:14.771 [DEBUG] request is{3 www.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.197 [DEBUG] request is{3 t12.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.197 [DEBUG] request is{3 t12.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.199 [DEBUG] request is{3 t11.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.200 [DEBUG] request is{3 t12.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.200 [DEBUG] request is{3 t11.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.200 [DEBUG] request is{3 t11.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.201 [DEBUG] request is{3 t11.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.201 [DEBUG] request is{3 t10.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.238 [DEBUG] request is{3 t9.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.239 [DEBUG] request is{3 ss0.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.240 [DEBUG] request is{3 ss2.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.242 [DEBUG] request is{3 t13.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.242 [DEBUG] request is{3 t14.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.243 [DEBUG] request is{3 gimg3.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.244 [DEBUG] request is{3 t13.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.245 [DEBUG] request is{3 t15.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.245 [DEBUG] request is{3 gimg4.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.245 [DEBUG] request is{3 t13.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.245 [DEBUG] request is{3 t15.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.246 [DEBUG] request is{3 t15.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.246 [DEBUG] request is{3 gimg4.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.246 [DEBUG] request is{3 pss.bdstatic.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.249 [DEBUG] request is{3 hectorstatic.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.315 [DEBUG] request is{3 search-operate.cdn.bcebos.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.378 [DEBUG] request is{3 sp1.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.379 [DEBUG] request is{3 sp1.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.405 [DEBUG] request is{3 edge.microsoft.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.476 [DEBUG] request is{3 ug.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.491 [DEBUG] request is{3 hpd.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.531 [DEBUG] request is{3 ug.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:15.550 [DEBUG] request is{3 finance.pae.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:16.198 [DEBUG] request is{3 www.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:16.276 [DEBUG] request is{3 pcrec.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:16.343 [DEBUG] request is{3 www.bilibili.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:16.343 [DEBUG] request is{3 www.bilibili.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.176 [DEBUG] request is{3 s1.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.188 [DEBUG] request is{3 s1.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.189 [DEBUG] request is{3 s1.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.189 [DEBUG] request is{3 s1.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.190 [DEBUG] request is{3 s1.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.190 [DEBUG] request is{3 s1.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.190 [DEBUG] request is{3 s1.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.190 [DEBUG] request is{3 s1.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.217 [WARNING] fail to read socks5 request:EOF (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:106 go-socks5-demo/socks5.handshake)
Aug 13 16:54:17.217 [WARNING] fail in handshakefail to read socks5 request:EOF (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:97 go-socks5-demo/socks5.socks5Handle)
Aug 13 16:54:17.217 [WARNING] fail to read socks5 request:EOF (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:106 go-socks5-demo/socks5.handshake)
Aug 13 16:54:17.217 [WARNING] fail in handshakefail to read socks5 request:EOF (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:97 go-socks5-demo/socks5.socks5Handle)
Aug 13 16:54:17.325 [DEBUG] request is{3 data.bilibili.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.382 [DEBUG] request is{3 i0.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.386 [DEBUG] request is{3 i0.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.387 [DEBUG] request is{3 i0.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.388 [DEBUG] request is{3 i1.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.389 [DEBUG] request is{3 i2.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.389 [DEBUG] request is{3 i2.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.389 [DEBUG] request is{3 i2.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.389 [DEBUG] request is{3 i1.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.389 [DEBUG] request is{3 i1.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.389 [DEBUG] request is{3 i1.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.389 [DEBUG] request is{3 i2.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.390 [DEBUG] request is{3 i2.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.816 [DEBUG] request is{3 api.bilibili.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.823 [DEBUG] request is{3 api.bilibili.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.848 [DEBUG] request is{3 i0.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.849 [DEBUG] request is{3 edge.microsoft.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:17.911 [DEBUG] request is{3 api.bilibili.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:18.006 [DEBUG] request is{3 s1.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:18.007 [DEBUG] request is{3 cm.bilibili.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:18.157 [DEBUG] request is{3 cm.bilibili.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:18.844 [DEBUG] request is{3 xy61x159x92x243xy.mcdn.bilivideo.cn:4483} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:19.388 [DEBUG] request is{3 hw-v2-web-player-tracker.biliapi.net:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:20.768 [DEBUG] request is{3 xy222x189x169x244xy.mcdn.bilivideo.cn:8082} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:20.768 [DEBUG] request is{3 xy125x84x216x87xy.mcdn.bilivideo.cn:8082} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:20.893 [DEBUG] request is{3 static.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:21.674 [DEBUG] request is{3 xy125x84x216x87xy.mcdn.bilivideo.cn:8082} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:22.647 [DEBUG] request is{3 api.live.bilibili.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:22.703 [DEBUG] request is{3 bvc.bilivideo.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
